Object_ID,Object_Type,Material_Category,Origin_Name,Origin_Lat,Origin_Lon,Dest_Name,Dest_Lat,Dest_Lon,Prod_Start,Prod_End,Arrival_TAQ,Collection_Node,Historical_Evidence,Source_URL,Image_URL,Data_Status,Certainty_Score,Social_Life,Acquisition_Year_Historical,TAQ_Source
Lorient_C125,Plate (Decorated),Porcelain (Famille Rose/Grisaille),"Jingdezhen, CN",29.2925,117.2023,"Lorient, FR",47.7055,-3.3556,1736,1795,1795,"Museum of the East India Company, Lorient",Plate inspired by Larmessin engraving (La Fontaine fable). Famille Rose/Grisaille.,https://pop.culture.gouv.fr/notice/joconde/M0224000093,https://pop.culture.gouv.fr/_next/image?url=https%3A%2F%2Fpopcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net%2Fjoconde%2FM0224000093%2FIMG_9482%20WCBDA.jpg&w=3840&q=75,Extant,1,Scientific Curiosity,1984,Institutional (corrected to Prod_End)
Blois_39.5.255,Tea Caddy,Porcelain (Blue & White),"Jingdezhen, CN",29.2925,117.2023,"Blois, FR",47.5833,1.3333,1662,1735,1735,"Castle Museums, Blois","Quadrangular tea caddy, blue and white porcelain, floral motifs.",https://pop.culture.gouv.fr/notice/joconde/M0271003914,https://pop.culture.gouv.fr/_next/image?url=https%3A%2F%2Fpopcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net%2Fjoconde%2FM0271003914%2F033297.jpg&w=3840&q=75,Extant,1,Commercial Commodity,1939,Institutional (corrected to Prod_End)
A_1930-0719-47,Altar-vase (Elephant-head handles),Porcelain (Turquoise glaze),"Jingdezhen, CN",29.2925,117.2023,"London, UK",51.5072,-0.1276,1573,1620,1620,"British Museum, London",Altar-vase with turquoise glaze and elephant-head handles. Ming dynasty (Wanli).,https://www.britishmuseum.org/collection/object/A_1930-0719-47,http://media.britishmuseum.org/media/Repository/Documents/2014_10/4_23/c2bb9434_905e_4aa1_9d24_a3ba017f2718/preview_00272701_001.jpg,Extant,1,Scientific Curiosity,1930,Institutional (corrected to Prod_End)
Lorient_2018.5.2.1,Wallpaper,Wallpaper (Pigment/Wood),"Guangzhou, CN",23.1291,113.2644,"Lorient, FR",47.7055,-3.3556,1770,1790,1790,"Museum of the East India Company, Lorient",Wallpaper panel depicting porcelain manufacturing process.,https://pop.culture.gouv.fr/notice/joconde/M0224002404,https://pop.culture.gouv.fr/_next/image?url=https%3A%2F%2Fpopcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net%2Fjoconde%2FM0224002404%2F008291.jpg&w=3840&q=75,Contextual,1,,2018,"Institutional (corrected to Prod_End; non-porcelain, displayed as low-opacity contextual marker)"
Lorient_ML390C197,Display stand,Porcelain (Grisaille/Gold),"Jingdezhen, CN",29.2925,117.2023,"Lorient, FR",47.7055,-3.3556,1736,1795,1795,"Museum of the East India Company, Lorient","Display stand, marine scene (man and boy gazing at ship), grisaille and gold. Part of a large service (ML 390 C 196-215).",https://pop.culture.gouv.fr/notice/joconde/M0224000124,https://pop.culture.gouv.fr/_next/image?url=https%3A%2F%2Fpopcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net%2Fjoconde%2FM0224000124%2Fb0864.jpg&w=3840&q=75,Extant,1,Commercial Commodity,1988,Institutional (corrected to Prod_End)
Pitti_1911.1863,Plate,Porcelain (Famille Verte),"Jingdezhen, CN",29.2925,117.2023,"Florence, IT",43.7696,11.2558,1662,1722,1722,"Pitti Palace, Florence","Plate decorated with ""Hundred Antiques"" (po-ku). Famille Verte, Kangxi period.",https://www.uffizi.it/en/artworks/plate-decorated-with-some-objects-from-the-the-hundred-antiques,https://www.datocms-assets.com/103094/1688660674-1562138208219370-1.jpg?auto=format%2Ccompress&cs=srgb&max-w=800,Extant,1,Aristocratic Collection,1911,Institutional (corrected to Prod_End)
SKD_PO4959,Bottle,Porcelain (Arita),"Arita, JP",33.185,129.88,"Dresden, DE",51.0504,13.7373,1640,1660,1723,SKD Dresden,"Arita pear-shaped bottle (1640-1660) with underglaze blue, later overglaze red and gold added in Europe. Bought from Count von Flemming in 1723, recorded in Palace Inventory (N 185).",https://doi.org/10.58749/skd.ps.2024.rpc.c1.120137,https://royalporcelaincollection.skd.museum/api/api/Thumbnail/imageLarge/3041768,Extant,1,Aristocratic Collection,,Historical
SKD_PO9091,Charger,Porcelain (Arita),"Arita, JP",33.185,129.88,"Dresden, DE",51.0504,13.7373,1680,1700,1721,SKD Dresden,Arita underglaze blue charger (1680-1700). Recorded in the 1721 Dresden Palace Inventory (N 91 [Zigzag line]).,https://doi.org/10.58749/skd.ps.2024.rpc.c1.221581,https://royalporcelaincollection.skd.museum/api/api/Thumbnail/imageLarge/3312931,Extant,1,Aristocratic Collection,,Historical
SKD_PO5161,Covered bowl,Porcelain (Imari),"Arita, JP",33.185,129.88,"Dresden, DE",51.0504,13.7373,1700,1730,1779,SKD Dresden,Arita Imari kinrande covered bowl (1700-1730) with underglaze blue and overglaze gold. Recorded in the 1779 Dresden Palace Inventory (N 365 [Cross]).,https://doi.org/10.58749/skd.ps.2024.rpc.c1.119624,https://royalporcelaincollection.skd.museum/api/api/Thumbnail/imageLarge/3042503,Extant,1,Aristocratic Collection,,Historical
SKD_PO354,Square bottle,Porcelain (Arita),"Arita, JP",33.185,129.88,"Dresden, DE",51.0504,13.7373,1680,1710,1723,SKD Dresden,Arita square bottle (1680-1710) with later Dutch decoration (1715-1720). Misidentified as Chinese in 1721 inventory. Bought from Frantz Heinrich Konsprucken in 1723.,https://doi.org/10.58749/skd.ps.2024.rpc.c1.131689,https://royalporcelaincollection.skd.museum/api/api/Thumbnail/imageLarge/2923499,Extant,1,Aristocratic Collection,,Historical
SKD_PO5024,Covered jar (Hexagonal),Porcelain (Imari),"Arita, JP",33.185,129.88,"Dresden, DE",51.0504,13.7373,1700,1720,1721,SKD Dresden,"Arita hexagonal covered jar (1700-1720) with Imari kinrande decoration. Misclassified as ""Red Chinese Porcelain"" in 1721 inventory (N 11 [Arrow]).",https://doi.org/10.58749/skd.ps.2024.rpc.c1.118940,https://royalporcelaincollection.skd.museum/api/api/Thumbnail/imageLarge/3042047,Extant,1,Aristocratic Collection,,Historical
SKD_PO3801_Leg1,Birdcage vase,Porcelain (Arita) with Lacquer,"Arita, JP",33.185,129.88,"Nagasaki, JP",32.7503,129.8779,1700,1700,1700,SKD Dresden,Leg 1 (Local Transit): Manufactured in Arita and transported to Nagasaki port for export.,https://doi.org/10.58749/skd.ps.2024.rpc.c1.854957,https://royalporcelaincollection.skd.museum/api/api/Thumbnail/imageLarge/2973123,Extant,1,Aristocratic Collection,,Historical
SKD_PO3801_Leg2,Birdcage vase,Porcelain (Arita) with Lacquer,"Nagasaki, JP",32.7503,129.8779,"Amsterdam, NL",52.3676,4.9041,1700,1700,1716,SKD Dresden,Leg 2 (Maritime Trade): Shipped by VOC from Nagasaki to the Netherlands.,https://doi.org/10.58749/skd.ps.2024.rpc.c1.854957,https://royalporcelaincollection.skd.museum/api/api/Thumbnail/imageLarge/2973124,Extant,1,Aristocratic Collection,,Historical
SKD_PO3801_Leg3,Birdcage vase,Porcelain (Arita) with Lacquer,"Amsterdam, NL",52.3676,4.9041,"Dresden, DE",51.0504,13.7373,1700,1700,1717,SKD Dresden,Leg 3 (European Acquisition): Purchased in the Netherlands 1716-1717 and transported to Dresden for Augustus the Strong. Recorded in 1721 inventory.,https://doi.org/10.58749/skd.ps.2024.rpc.c1.854957,https://royalporcelaincollection.skd.museum/api/api/Thumbnail/imageLarge/2973125,Extant,1,Aristocratic Collection,,Historical
SKD_PO8203,Beaker vase,"Porcelain (Crackled / ""Snake"")","Dehua / Dongxi, CN",25.49,118.24,"Dresden, DE",51.0504,13.7373,1685,1720,1779,SKD Dresden,Beaker vase (1685-1720) with brown crackle. Origin tentative (Dehua or Dongxi). First recorded in the 1779 Dresden Palace Inventory (N 85 [Triangle]).,https://doi.org/10.58749/skd.ps.2024.rpc.c1.129418,https://royalporcelaincollection.skd.museum/api/api/Thumbnail/imageLarge/3308315,Extant,1,Aristocratic Collection,,Historical
SKD_PO8293,Cup (Magnolia),Porcelain (Blanc de Chine),"Dehua, CN",25.49,118.24,"Dresden, DE",51.0504,13.7373,1662,1720,1721,SKD Dresden,"Dehua 'Blanc de Chine' magnolia cup (1662-1720). Cold overpainted with gold in Europe. Palace mark N 43 [Triangle] is no longer visible, but matched to 1721 inventory.",https://doi.org/10.58749/skd.ps.2024.rpc.c1.129977,https://royalporcelaincollection.skd.museum/api/api/Thumbnail/imageLarge/3308721,Extant,1,Aristocratic Collection,,Historical
SKD_PO8604,Figure (Standing lady),Porcelain,"Fujian, CN",26.07,119.3,"Dresden, DE",51.0504,13.7373,1730,1750,1779,SKD Dresden,"Fujian porcelain lady figure (1730-1750). Palace mark N 407 [Zigzag line] not extant. Misidentified as ""Indian"" in 1779 inventory. Similar figures found on Geldermalsen shipwreck (1752).",https://doi.org/10.58749/skd.ps.2024.rpc.c1.133360,https://royalporcelaincollection.skd.museum/api/api/Thumbnail/imageLarge/3310985,Extant,1,Aristocratic Collection,,Historical
